Category,Subcategory,Title,Number
Épicerie,Épice,Sel Aro x15,2422111
Épicerie,Bonbon,Tiramisu choco Noisette,1904663
Bof,Poisson,Crabe des neiges,2601284
Cave,Alcool,Jack Daniel's 6x20cl,1767979
Épicerie,,Serviettes lerk verte ,0964148
Bof,Fromage,Mozza 2.5 kg verte,0111187
Épicerie,Soda,Tropico rouge ,2548626
Épicerie,Bière,Tourtel citron,2028124
Épicerie,Soda,Crazy tiger,2218121
Boucherie,Poulet,Poulet Mistral,0930271
Épicerie,Soda,Oasis Consigné Tropical,2821817
Épicerie,Soda,Fut Super Bock,2726594
Boucherie,Poulet,Poulet Blason d'or,2259489
Bof,,Pâte Feuilleté 3kg,0391268
Épicerie,Gâteau,Tiramisu Daim ,2074979
Boucherie,Poulet,Gésier Poulet Hallal,0020990
Bof,Fromage,Saint Nectaire Laitier,2354579
Épicerie,Soda,Orangina Rouge x24,2462364
Épicerie,Soda,Coca Cherry Consigné,2821825
Bof,,Brioche perdue,2658995
Épicerie,Soda,Eau de Saurce St George,2022770
Marré,,Chair escargot 1kg,2525723
Épicerie,Soda,Truc de fou,2764009
Marré,,Filet THON Albacor SS vide *,0067157
Boucherie,Bœuf,Queue Bœuf S/V,0744904
Boucherie,Poulet,Poulet Blanc NV 1.2 kg * ,0040121
Boucherie,Poulet,Aiguillettes baronne S/V,1884725
Épicerie,,Amandes blanchies 23/25 1kg,2827715
Bof,Dessert,Mousse choco déshydratée,2473381
Épicerie,,Amandes brutes 1kg,2827830
Boucherie,Porc,Barde de PORC ,1686773
Bof,,Frites  lamb weston 2.5 kg,2321115
Épicerie,,Arizona Greant Miel,2468130
Cave,,St YORRE Vinchy 33cl,2027308
Boucherie,Poulet,Poulet Fermier jaunettaller *,1517945
Épicerie,Conserve,Tomate Double Concentré 5/1,2755775
Épicerie,Bonbon,Dragibus 1.3kg,0017749
Boucherie,Veau,Rognon de veau Hallal,1837558
Épicerie,,Amandes Emonotees 1kg 34136:,2827350
Épicerie,Soda,Hawai,2022549
Boucherie,Poulet,Filet de Poulet UK 1kg,2639748
Épicerie,,Farine Rochambeau,2422038
Épicerie,,Cèpes extra sèche 500g,2755395
Épicerie,Soda,Soda Gimgembre Gibert,2770162
Cave,Vin,Vue Rosé (carton x6),2692630
Épicerie,,Sucre Muscovado,1797224
Boucherie,Poulet,Chapon l'air,2574876
Épicerie,Soda,Canette Carte Étale,2266898
Épicerie,,Riz Sushi,1796762
Épicerie,,25 Barquettes Cartons 120x75x45,2450336
Légume,Haricots,Haricots Mungo,2611010
Boucherie,Poulet,Chapon Filet le Gaulois,0723817
Cave,Vin,Muscador Cepage Muscat Blanc,2147064
Bof,Fromage,Roblochon Savoie Taurnette *,2871895
Épicerie,Soda,Soda Cerise 33cl,2471936
Cave,Vin,CLAUDE LAFOND VIN [Blanc] ,2147924
Cave,Vin,CLAUDE LAFOND VIN [Rosé] ,2149003
Cave,Vin,CLAUDE LAFOND VIN [Rouge] ,2148989
Cave,Vin,Reuilly Blanc Bouteille **x1**,2163772
Personnel,Caisse,**Dat**,058590289
Légume,Pomme,POM GOLDEN 150+ 13kg (vert),0999409
Légume,Oignon,Oignon jaune 1kg 6/8,3760119377543
Épicerie,Conserve,ARO Tomate entère peleé,1920578
Cave,Vin,Reuilly Rouge Bouteille **x1**,1763762
Cave,Vin,AOC Chateam Rouge,2137958
Légume,Clémentine,Clémentine Mademoiselle,7149818
Épicerie,Autre,1000 sachet snack ouvert blanc,1762509
Boucherie,Poulet,Poulet Pac x10 Hallal,0497404
Légume,Citron,(Lemon) Citrons non traité Metro,7149255
Légume,Mandarine,Variété NADORCOTT Espagne,8425174016411
Légume,Mâche,SAL Mâche BQ 150g ,3590941000155
Autres,,Consultation des prix,102007040
Épicerie,Goblet,80 goblets verts boiss chaude 10cl,3595531012501